BldgArea,BldgDepth,BuiltFAR,CommFAR,FacilFAR,LotArea,LotDepth,NumBldgs,NumFloors,OfficeArea,ResArea,ResidFAR,RetailArea,Age,Period,ComplaintType
9401.0,77.0,3.6,2.0,6.5,16942.0,126.93,1.0,5.0,6072.0,7650.0,4.0,2320.0,78.0,110.0,1
76036.25,140.0,7.68,6.0,6.5,16942.0,126.93,1.0,9.0,6072.0,31531.0,4.0,2320.0,-10.0,22.0,3
76036.25,77.0,7.77,6.0,6.5,16942.0,126.93,1.0,9.0,6072.0,31531.0,4.0,2320.0,-10.0,22.0,4
76036.25,77.0,5.51,6.0,6.5,16942.0,126.93,1.0,8.0,6072.0,7650.0,4.0,2320.0,-20.0,12.0,0
76036.25,110.0,8.52,6.0,6.5,16942.0,126.93,1.0,5.0,6072.0,31531.0,4.0,2320.0,5.0,37.0,2
76036.25,112.0,10.37,6.0,6.5,16942.0,126.93,1.0,12.0,6072.0,7650.0,4.0,2320.0,29.0,34.0,0
76036.25,125.0,10.37,6.0,6.5,16942.0,126.93,1.0,12.0,6072.0,7650.0,4.0,2320.0,28.0,33.0,1
76036.25,125.0,10.37,6.0,6.5,16942.0,126.93,1.0,12.0,6072.0,7650.0,4.0,2320.0,2.0,34.0,0
76036.25,125.0,10.37,6.0,6.5,16942.0,126.93,1.0,12.0,6072.0,7650.0,4.0,2320.0,2.0,34.0,0
9401.0,77.0,3.6,6.0,6.5,16942.0,126.93,1.0,5.0,6072.0,7650.0,4.0,2320.0,78.0,110.0,4
76036.25,121.0,10.37,6.0,6.5,16653.0,120.0,1.0,12.0,6072.0,31531.0,4.0,2320.0,-14.0,18.0,0
76036.25,70.0,10.37,6.0,6.5,14451.0,70.0,1.0,12.0,2000.0,31531.0,4.0,2320.0,-16.0,16.0,1
76036.25,77.0,10.37,6.0,6.5,16942.0,126.93,1.0,12.0,6072.0,31531.0,4.0,2320.0,-16.0,16.0,1
76036.25,77.0,10.37,6.0,6.5,16942.0,126.93,1.0,12.0,6072.0,31531.0,4.0,1500.0,-10.0,22.0,1
76036.25,77.0,10.37,6.0,6.5,16942.0,100.0,1.0,12.0,6072.0,31531.0,4.0,2320.0,-10.0,22.0,0
76036.25,121.0,10.37,6.0,6.5,10292.0,121.9,1.0,12.0,6072.0,31531.0,4.0,1000.0,-10.0,22.0,1
76036.25,183.0,7.49,6.0,6.5,16942.0,126.93,1.0,10.0,6072.0,7650.0,4.0,2320.0,-1.0,31.0,1
76036.25,179.11,3.73,6.0,6.5,16942.0,126.93,1.0,12.0,6072.0,7650.0,4.0,2320.0,-9.0,23.0,3
76036.25,179.11,10.37,6.0,6.5,6323.0,126.93,1.0,12.0,6072.0,31531.0,4.0,1000.0,-10.0,22.0,1
76036.25,155.0,10.37,6.0,6.5,16942.0,126.93,1.0,12.0,6072.0,7650.0,4.0,2320.0,-9.0,23.0,1
76036.25,183.0,10.37,6.0,6.5,16942.0,126.93,1.0,12.0,6072.0,7650.0,4.0,2320.0,-21.0,11.0,1
76036.25,77.0,10.37,6.0,6.5,16942.0,122.44,1.0,12.0,6072.0,31531.0,4.0,1092.0,3.0,35.0,1
76036.25,100.0,4.43,6.0,6.5,16942.0,100.5,1.0,12.0,6072.0,31531.0,4.0,2320.0,2.0,34.0,2
76036.25,77.0,6.86,6.0,6.5,12644.0,103.78,1.0,12.0,1052.0,31531.0,4.0,2320.0,3.0,35.0,4
72913.0,77.0,4.53,6.0,6.5,16108.0,122.0,1.0,9.0,6072.0,31531.0,4.0,2320.0,2.0,34.0,0
76036.25,77.0,8.53,6.0,6.5,16942.0,126.93,1.0,12.0,1177.0,31531.0,4.0,2320.0,1.0,33.0,3
76036.25,77.0,5.44,6.0,6.5,15000.0,103.0,1.0,9.0,6072.0,31531.0,4.0,502.0,3.0,35.0,0
76036.25,77.0,4.09,6.0,6.5,16942.0,126.93,1.0,9.0,6072.0,31531.0,4.0,2320.0,2.0,34.0,1
76036.25,77.0,10.37,6.0,6.5,16942.0,126.93,1.0,12.0,1640.0,31531.0,4.0,2320.0,1.0,33.0,1
76036.25,77.0,4.33,6.0,6.5,16942.0,126.93,1.0,9.0,6072.0,31531.0,4.0,2320.0,0.0,32.0,0
76036.25,77.0,10.37,6.0,6.5,16942.0,126.93,1.0,12.0,6072.0,31531.0,4.0,2320.0,0.0,32.0,4
76036.25,77.0,5.28,6.0,6.5,16942.0,126.93,1.0,9.0,6072.0,31531.0,4.0,2320.0,-2.0,30.0,0
76036.25,77.0,7.92,6.0,6.5,16942.0,126.93,1.0,12.0,6072.0,7650.0,4.0,2320.0,0.0,32.0,2
76036.25,77.0,10.37,6.0,6.5,16942.0,126.93,1.0,12.0,6072.0,31531.0,4.0,2320.0,-15.0,17.0,0
76036.25,102.0,10.37,6.0,6.5,16942.0,102.4,1.0,12.0,6072.0,31531.0,4.0,2320.0,-18.0,14.0,2
76036.25,183.0,7.23,6.0,6.5,16942.0,126.93,1.0,12.0,6072.0,31531.0,4.0,2320.0,3.0,35.0,3
76036.25,164.32,10.37,6.0,6.5,16942.0,126.93,1.0,12.0,6072.0,31531.0,4.0,1453.0,-18.0,14.0,1
